clock-1      | [Clock] 154:snake_length=3 eaten_apples=0 loss=-0.085 policy_loss=0.023 entropy_mean=1.077 grad_norm=0.535 frames=9  sum_reward=8
clock-1      | [Clock] 155:snake_length=4 eaten_apples=1 loss=-0.228 policy_loss=-0.121 entropy_mean=1.076 grad_norm=0.632 frames=8  sum_reward=8
clock-1      | [Clock] 156:snake_length=4 eaten_apples=1 loss=-0.053 policy_loss=0.055 entropy_mean=1.080 grad_norm=0.323 frames=55  sum_reward=55
clock-1      | [Clock] 157:snake_length=4 eaten_apples=1 loss=-0.073 policy_loss=0.034 entropy_mean=1.077 grad_norm=0.361 frames=14  sum_reward=14
clock-1      | [Clock] 158:snake_length=4 eaten_apples=1 loss=-0.133 policy_loss=-0.025 entropy_mean=1.078 grad_norm=0.314 frames=29  sum_reward=29
clock-1      | [Clock] 159:snake_length=3 eaten_apples=0 loss=-0.048 policy_loss=0.060 entropy_mean=1.080 grad_norm=0.424 frames=16  sum_reward=15
clock-1      | [Clock] 160:snake_length=3 eaten_apples=0 loss=-0.152 policy_loss=-0.045 entropy_mean=1.079 grad_norm=0.216 frames=68  sum_reward=67
clock-1      | [Clock] 161:snake_length=3 eaten_apples=0 loss=-0.074 policy_loss=0.033 entropy_mean=1.079 grad_norm=0.626 frames=5  sum_reward=4
clock-1      | [Clock] 162:snake_length=3 eaten_apples=0 loss=-0.129 policy_loss=-0.021 entropy_mean=1.080 grad_norm=0.248 frames=44  sum_reward=43
clock-1      | [Clock] 163:snake_length=3 eaten_apples=0 loss=-0.111 policy_loss=-0.003 entropy_mean=1.079 grad_norm=0.373 frames=13  sum_reward=12
clock-1      | [Clock] 164:snake_length=3 eaten_apples=0 loss=-0.115 policy_loss=-0.007 entropy_mean=1.076 grad_norm=0.384 frames=5  sum_reward=4
clock-1      | [Clock] 165:snake_length=3 eaten_apples=0 loss=-0.158 policy_loss=-0.050 entropy_mean=1.080 grad_norm=0.560 frames=15  sum_reward=14
clock-1      | [Clock] 166:snake_length=3 eaten_apples=0 loss=-0.128 policy_loss=-0.020 entropy_mean=1.080 grad_norm=0.142 frames=66  sum_reward=65
clock-1      | [Clock] 167:snake_length=4 eaten_apples=1 loss=-0.174 policy_loss=-0.066 entropy_mean=1.079 grad_norm=0.559 frames=22  sum_reward=22
clock-1      | [Clock] 168:snake_length=4 eaten_apples=1 loss=-0.036 policy_loss=0.071 entropy_mean=1.077 grad_norm=0.347 frames=21  sum_reward=21
clock-1      | [Clock] 169:snake_length=3 eaten_apples=0 loss=-0.027 policy_loss=0.081 entropy_mean=1.080 grad_norm=0.474 frames=19  sum_reward=18
