clock-1      | [Clock] 115:snake_length=3 eaten_apples=0 loss=-0.111 policy_loss=-0.003 entropy_mean=1.077 grad_norm=0.055 frames=486  sum_reward=485
clock-1      | [Clock] 116:snake_length=3 eaten_apples=0 loss=-0.107 policy_loss=0.001 entropy_mean=1.077 grad_norm=0.027 frames=467  sum_reward=466
clock-1      | [Clock] 117:snake_length=3 eaten_apples=0 loss=-0.150 policy_loss=-0.042 entropy_mean=1.077 grad_norm=0.293 frames=93  sum_reward=92
clock-1      | [Clock] 118:snake_length=3 eaten_apples=0 loss=-0.110 policy_loss=-0.002 entropy_mean=1.077 grad_norm=0.125 frames=200  sum_reward=199
clock-1      | [Clock] 119:snake_length=3 eaten_apples=0 loss=-0.094 policy_loss=0.013 entropy_mean=1.078 grad_norm=0.151 frames=58  sum_reward=57
clock-1      | [Clock] 120:snake_length=3 eaten_apples=0 loss=-0.144 policy_loss=-0.036 entropy_mean=1.078 grad_norm=0.131 frames=71  sum_reward=70
clock-1      | [Clock] 121:snake_length=3 eaten_apples=0 loss=-0.125 policy_loss=-0.017 entropy_mean=1.078 grad_norm=0.131 frames=47  sum_reward=46
clock-1      | [Clock] 122:snake_length=3 eaten_apples=0 loss=-0.099 policy_loss=0.009 entropy_mean=1.078 grad_norm=0.124 frames=112  sum_reward=111
clock-1      | [Clock] 123:snake_length=4 eaten_apples=1 loss=-0.089 policy_loss=0.019 entropy_mean=1.078 grad_norm=0.257 frames=81  sum_reward=81
clock-1      | [Clock] 124:snake_length=3 eaten_apples=0 loss=-0.094 policy_loss=0.014 entropy_mean=1.078 grad_norm=0.088 frames=92  sum_reward=91
clock-1      | [Clock] 125:snake_length=3 eaten_apples=0 loss=-0.139 policy_loss=-0.031 entropy_mean=1.078 grad_norm=0.122 frames=104  sum_reward=103
clock-1      | [Clock] 126:snake_length=3 eaten_apples=0 loss=-0.104 policy_loss=0.003 entropy_mean=1.078 grad_norm=0.061 frames=267  sum_reward=266
clock-1      | [Clock] 127:snake_length=3 eaten_apples=0 loss=-0.093 policy_loss=0.015 entropy_mean=1.078 grad_norm=0.118 frames=261  sum_reward=260
clock-1      | [Clock] 128:snake_length=3 eaten_apples=0 loss=-0.074 policy_loss=0.033 entropy_mean=1.078 grad_norm=0.140 frames=170  sum_reward=169
clock-1      | [Clock] 129:snake_length=4 eaten_apples=1 loss=-0.086 policy_loss=0.022 entropy_mean=1.078 grad_norm=0.106 frames=239  sum_reward=239
clock-1      | [Clock] 130:snake_length=3 eaten_apples=0 loss=-0.114 policy_loss=-0.007 entropy_mean=1.078 grad_norm=0.032 frames=192  sum_reward=191
clock-1      | [Clock] 131:snake_length=4 eaten_apples=1 loss=-0.117 policy_loss=-0.009 entropy_mean=1.078 grad_norm=0.211 frames=217  sum_reward=217
clock-1      | [Clock] 132:snake_length=4 eaten_apples=1 loss=-0.127 policy_loss=-0.019 entropy_mean=1.079 grad_norm=0.151 frames=279  sum_reward=279
clock-1      | [Clock] 133:snake_length=3 eaten_apples=0 loss=-0.082 policy_loss=0.026 entropy_mean=1.079 grad_norm=0.124 frames=238  sum_reward=237
